Row,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
108,2208,1424,1172,252
109,1381,955,773,182
110,1265,876,715,161
111,1948,1288,1030,258
112,1742,1096,946,150
113,1896,1409,1186,223
114,3033,2062,1706,356
115,3445,2327,1942,385
116,3423,2384,1991,393
117,3319,2272,1922,350
118,2783,1941,1663,278
119,1952,1240,1066,174
120,2245,1611,1391,220
121,3928,2518,2125,393
122,3810,2621,2239,382
123,3931,2656,2229,427
124,3523,2457,2069,388
125,2943,1928,1640,288
126,1751,1237,1052,185
127,2491,1762,1541,221
128,3766,2665,2271,394
129,4194,2852,2423,429
130,4038,2916,2482,434
131,3891,2702,2334,368
132,3111,2181,1897,284
133,1946,1414,1239,175
134,2802,2010,1740,270
135,3892,2841,2466,375
136,4172,3003,2592,411
137,4464,3280,2862,418
138,4377,3143,2679,464
139,3734,2514,2129,385
140,2262,1657,1443,214
141,3050,2122,1825,297
142,4794,3366,2867,499
143,4936,3423,2922,501
144,5016,3500,3023,477
145,4489,3170,2753,417
146,3505,2468,2075,393
147,2264,1679,1437,242
148,3314,2435,2100,335
149,5095,3619,3125,494
150,5525,3793,3272,521
151,5074,3689,3190,499
152,4571,3319,2810,509
153,3570,2664,2253,411
154,2182,1565,1323,242
155,3265,2277,1935,342
156,4670,3297,2826,471
157,4764,3452,2957,495
158,4943,3526,3026,500
159,4790,3307,2811,496
160,3604,2621,2241,380
161,2455,1823,1569,254
162,3650,2690,2329,361
163,5463,3975,3433,542
164,5884,4112,3542,570
165,5615,4019,3432,587
166,5289,3747,3186,561
167,4434,2969,2486,483
168,2665,1977,1694,283
169,3907,2906,2519,387
170,5308,3778,3222,556
171,5773,4025,3490,535
172,5585,4060,3457,603
173,4783,3582,3049,533
174,3893,2707,2259,448
175,2917,2048,1723,325
176,3353,2468,2104,364
177,5400,3824,3246,578
178,5395,3926,3350,576
179,5229,3859,3263,596
180,5371,3784,3204,580
181,4185,3045,2559,486
182,2724,1988,1675,313
183,3590,2620,2196,424
184,5367,3771,3192,579
185,5440,3968,3387,581
186,5465,4043,3458,585
187,5318,3813,3262,551
188,4225,2916,2462,454
189,2687,1975,1667,308
190,3791,2786,2388,398
191,5661,3949,3331,618
192,5759,4081,3487,594
193,5599,3983,3378,605
194,5103,3755,3184,571
195,4313,2946,2446,500
196,2971,2011,1651,360
197,3662,2693,2285,408
198,5635,3985,3386,599
199,5581,3963,3359,604
200,5329,3761,3170,591
201,4553,3214,2710,504
202,3423,2404,1988,416
203,2708,1807,1512,295
204,3306,2266,1895,371
205,5203,3692,3133,559
206,5712,4104,3456,648
207,5601,4015,3401,614
208,5486,4063,3430,633
209,4178,3213,2697,516
210,2878,2153,1835,318
211,4169,2903,2447,456
212,6372,4485,3787,698
213,6240,4391,3698,693
214,6170,4409,3723,686
215,6071,4275,3586,689
216,4682,3307,2741,566
217,3208,2291,1894,397
218,4310,3144,2669,475
219,6435,4694,3929,765
220,6299,4455,3769,686
221,6360,4512,3797,715
222,6349,4360,3664,696
223,4660,3387,2845,542
224,3354,2420,2035,385
225,4371,3189,2688,501
226,6534,4731,3977,754
227,6832,4941,4161,780
228,6689,4870,4110,760
229,5849,4086,3450,636
230,4247,3064,2562,502
231,3219,2360,1958,402
232,4211,3210,2765,445
233,6424,4752,4043,709
234,6223,4520,3818,702
235,6551,4768,4059,709
236,6343,4449,3770,679
237,4696,3366,2824,542
238,3134,2239,1846,393
239,3868,2844,2365,479
240,6020,4482,3787,695
241,5705,4160,3490,670
242,5752,4016,3348,668
243,5181,3605,3008,597
244,4269,2913,2404,509
245,2633,1818,1473,345
246,3336,2376,1988,388
247,5127,3587,2955,632
248,5449,3767,3149,618
249,5746,3956,3371,585
250,5115,3642,3046,596
251,3995,2749,2243,506
252,2618,1884,1585,299
253,2961,2117,1763,354
254,4090,2913,2427,486
255,5201,3637,3073,564
256,5321,3797,3146,651
257,5219,3509,2887,622
258,4017,2804,2338,466
259,2297,1629,1346,283
260,3145,2226,1860,366
261,4905,3419,2797,622
262,4747,3284,2701,583
263,4591,3317,2713,604
264,4431,3173,2652,521
265,3608,2523,2068,455
266,2422,1673,1336,337
267,3132,2145,1790,355
268,4962,3377,2788,589
269,4881,3469,2862,607
270,5001,3425,2786,639
271,4635,3242,2614,628
272,3545,2494,2066,428
273,2262,1490,1235,255
274,2866,2034,1692,342
275,4692,3261,2682,579
276,4602,3204,2660,544
277,4620,3101,2556,545
278,4475,2955,2386,569
279,3564,2422,1954,468
280,2071,1370,1129,241
281,2659,1840,1523,317
282,4338,2963,2410,553
283,4531,3139,2566,573
284,4498,3022,2481,541
285,4128,2730,2210,520
286,3132,2153,1721,432
287,1829,1264,1067,197
288,2149,1517,1224,293
289,3975,2691,2169,522
290,4046,2718,2180,538
291,3897,2745,2266,479
292,3871,2540,2072,468
293,2630,1716,1353,363
294,1602,1104,900,204
295,1960,1370,1141,229
296,4143,2655,2171,484
297,4205,2789,2266,523
298,4193,2783,2255,528
299,3710,2536,2069,467
300,3137,2203,1767,436
301,1834,1145,944,201
302,2070,1473,1197,276
303,4180,2852,2310,542
304,4038,2731,2226,505
305,3906,2667,2119,548
306,3580,2424,1940,484
307,2948,2070,1708,362
308,1622,1121,924,197
309,2179,1480,1214,266
310,3906,2615,2146,469
311,3745,2596,2071,525
312,4212,2761,2205,556
313,3901,2595,2095,500
314,3292,2207,1785,422
315,1819,1229,1016,213
316,2068,1562,1286,276
317,3991,2805,2243,562
318,4073,2862,2361,501
319,4069,2825,2324,501
320,3716,2629,2126,503
321,3380,2120,1709,411
322,1737,1197,958,239
323,2181,1567,1282,285
324,3973,2794,2263,531
325,3997,2794,2269,525
326,4132,2798,2287,511
327,3791,2693,2204,489
328,2968,2139,1738,401
329,1752,1266,1021,245
330,2070,1497,1231,266
331,3920,2684,2139,545
332,4106,2791,2266,525
333,4006,2726,2166,560
334,3827,2639,2133,506
335,2944,1973,1564,409
336,1827,1193,954,239
337,2373,1658,1369,289
338,4031,2763,2290,473
339,4027,2780,2248,532
340,3912,2795,2291,504
341,3867,2715,2191,524
342,3304,2238,1806,432
343,1685,1208,1011,197
344,2130,1542,1282,260
345,3936,2697,2182,515
346,4029,2744,2203,541
347,4010,2789,2237,552
348,4027,2890,2392,498
349,2829,2000,1585,415
350,1736,1227,1023,204
351,2517,1686,1416,270
352,4029,2769,2299,470
353,4261,2890,2358,532
354,4058,2923,2442,481
355,4392,3007,2466,541
356,3072,2221,1846,375
357,1799,1284,1068,216
358,2341,1611,1345,266
359,3330,2354,1963,391
360,4734,3381,2833,548
361,4801,3381,2845,536
362,4399,3079,2575,504
363,3275,2375,1958,417
364,2042,1429,1223,206
365,2827,2103,1844,259
366,4836,3437,2954,483
367,4840,3465,2944,521
368,4504,3356,2902,454
369,4379,3240,2736,504
370,3391,2428,2024,404
371,2045,1513,1278,235
372,2721,2081,1817,264
373,4630,3535,2998,537
374,4748,3540,3004,536
375,4702,3377,2893,484
376,4440,3309,2827,482
377,3513,2518,2116,402
378,2253,1633,1395,238
379,3141,2291,1980,311
380,5122,3808,3289,519
381,5151,3868,3305,563
382,4969,3703,3182,521
383,4619,3365,2876,489
384,3443,2598,2196,402
385,2302,1754,1503,251
386,3291,2506,2173,333
387,5206,3737,3170,567
388,5474,3940,3337,603
389,5400,3934,3350,584
390,5334,3821,3244,577
391,4174,3022,2547,475
392,2571,1853,1597,256
393,3572,2636,2283,353
394,5018,3788,3241,547
395,5565,4159,3536,623
396,5420,4048,3403,645
397,5366,3908,3331,577
398,4091,3002,2507,495
399,2824,2087,1770,317
400,3843,2825,2441,384
401,5516,4140,3491,649
402,5572,4121,3460,661
403,5243,3882,3298,584
404,5133,3720,3104,616
405,4084,2947,2441,506
406,2739,1978,1647,331
407,3781,2857,2435,422
408,5684,4073,3417,656
409,5687,4179,3534,645
410,5906,4266,3614,652
411,5541,4020,3368,652
412,4171,3043,2501,542
413,2586,1820,1496,324
414,3838,2922,2456,466
415,5675,4076,3419,657
416,5624,4178,3504,674
417,5794,4316,3670,646
418,5389,4031,3379,652
419,4305,3047,2522,525
420,3281,2202,1854,348
421,3790,2837,2418,419
422,5894,4203,3487,716
423,5461,4048,3388,660
424,5206,3869,3219,650
425,5228,3929,3281,648
426,4097,2971,2436,535
427,2694,1964,1616,348
428,3893,2930,2483,447
429,6185,4550,3872,678
430,6178,4503,3795,708
431,6067,4397,3693,704
432,5656,4166,3487,679
433,4398,3173,2645,528
434,2836,2086,1741,345
435,3896,2927,2424,503
436,5814,4236,3543,693
437,5879,4140,3475,665
438,4800,3457,2836,621
439,3838,2825,2334,491
440,3576,2579,2118,461
441,2799,1974,1652,322
442,4228,3127,2605,522
443,6331,4570,3817,753
444,6380,4743,4027,716
445,6314,4829,4039,790
446,6160,4584,3835,749
447,4859,3615,2995,620
448,3317,2468,2040,428
449,4715,3550,2972,578
450,6940,5136,4303,833
451,6551,4866,4068,798
452,6327,4761,3961,800
453,6212,4578,3830,748
454,4687,3388,2771,617
455,3014,2283,1856,427
456,4132,3064,2548,516
457,5989,4330,3606,724
458,5331,3967,3309,658
459,5183,3665,3025,640
460,4769,3515,2917,598
461,3627,2518,2071,447
462,1857,1319,1087,232
463,2221,1489,1204,285
464,3335,2335,1906,429
465,2883,2047,1639,408
466,2353,1621,1312,309
467,1578,1099,886,213
468,1017,724,586,138
469,1334,936,760,176
470,1690,1155,947,208
471,2838,1829,1474,355
472,2815,1786,1419,367
473,2382,1618,1292,326
474,1587,1035,809,226
475,1411,960,786,174
476,1838,1197,969,228
477,2180,1562,1279,283
478,3587,2494,2037,457
479,3855,2742,2230,512
480,3840,2628,2127,501
481,3735,2746,2258,488
482,3223,2286,1860,426
483,2207,1531,1280,251
484,2814,2000,1661,339
485,4007,2976,2444,532
486,4119,2961,2385,576
487,4338,3164,2631,533
488,4432,2962,2418,544
489,3306,2349,1866,483
490,2223,1557,1262,295
491,2757,2002,1635,367
492,4047,2898,2373,525
493,4489,3190,2566,624
494,4588,3232,2656,576
495,4398,3106,2561,545
496,3340,2455,1990,465
497,2344,1639,1338,301
498,2973,2094,1736,358
499,4638,3205,2649,556
500,4791,3409,2834,575
501,5104,3768,3197,571
502,4621,3439,2876,563
503,3831,2715,2232,483
504,2295,1690,1400,290
505,3235,2462,2050,412
506,4918,3640,3060,580
507,5127,3783,3195,588
508,4794,3575,2999,576
509,4788,3420,2848,572
510,3948,2727,2256,471
511,2383,1765,1477,288
512,2950,2231,1839,392
513,4905,3592,3024,568
514,5353,3931,3299,632
515,5492,4007,3358,649
516,5052,3628,3019,609
517,3764,2807,2300,507
518,2458,1788,1459,329
519,3098,2277,1866,411
520,4951,3652,3039,613
521,5495,4000,3304,696
522,5505,4062,3375,687
523,5188,3812,3156,656
524,4002,2932,2377,555
525,2607,1888,1537,351
526,3906,2838,2355,483
527,6360,4432,3684,748
528,6046,4460,3714,746
529,5938,4309,3499,810
530,5325,3892,3199,693
531,4165,3048,2490,558
532,2829,2096,1726,370
533,4090,2979,2462,517
534,5734,4224,3493,731
535,6214,4474,3731,743
536,5906,4333,3597,736
537,5814,4191,3419,772
538,4507,3188,2624,564
539,2859,2064,1718,346
540,3897,2806,2326,480
541,5849,4240,3503,737
542,6264,4526,3743,783
543,6062,4404,3624,780
544,5685,4159,3415,744
545,4391,3241,2627,614
546,2880,2046,1638,408
547,3740,2673,2163,510
548,5710,4261,3469,792
549,5168,3778,3047,731
550,5577,4062,3287,775
551,5238,3827,3134,693
552,3931,2871,2320,551
553,2606,1892,1568,324
554,3149,2410,2028,382
555,5565,3968,3274,694
556,5281,3770,3035,735
557,5202,3780,3146,634
558,4581,3203,2649,554
559,3264,2281,1847,434
560,2344,1759,1393,366
561,3112,2311,1890,421
562,5051,3655,2985,670
563,5333,3944,3217,727
564,5671,4078,3369,709
565,5097,3707,3026,681
566,4555,2971,2408,563
567,2987,2129,1737,392
568,4257,2964,2421,543
569,5804,4216,3426,790
570,5885,4379,3597,782
571,6054,4293,3522,771
572,5791,4147,3422,725
573,4741,3430,2820,610
574,2946,2140,1740,400
575,4071,2864,2330,534
576,6265,4503,3667,836
577,6298,4626,3769,857
578,6495,4628,3791,837
579,5536,4189,3431,758
580,4737,3447,2785,662
581,3232,2333,1862,471
582,4201,3093,2504,589
583,6806,4769,3920,849
584,6769,4817,3940,877
585,6581,4824,3926,898
586,6254,4537,3707,830
587,5163,3685,3009,676
588,3851,2595,2113,482
589,4695,3386,2761,625
590,7098,5224,4237,987
591,7156,5392,4468,924
592,6836,5056,4130,926
593,6329,4724,3892,832
594,4990,3608,2922,686
595,3536,2489,1993,496
596,4366,3236,2605,631
597,6510,4786,3909,877
598,6855,4962,4085,877
599,6599,4651,3744,907
600,5510,4105,3375,730
601,4549,3245,2639,606
602,3064,2167,1760,407
603,3633,2663,2180,483
604,5838,4283,3489,794
605,6026,4336,3581,755
606,5780,4226,3479,747
607,5131,3781,3101,680
608,3928,2845,2294,551
609,2636,1930,1552,378
610,3278,2366,1922,444
611,4785,3560,2882,678
612,4886,3601,2914,687
613,5145,3672,2987,685
614,5849,4211,3484,727
615,4456,3324,2725,599
616,2960,2138,1716,422
617,3885,2860,2338,522
618,5857,4155,3368,787
619,6162,4345,3526,819
620,6014,4254,3398,856
621,5652,4119,3385,734
622,4793,3340,2692,648
623,2819,1995,1611,384
624,3687,2546,2067,479
625,4851,3399,2701,698
626,5775,4216,3413,803
627,5443,3962,3193,769
628,5590,3959,3176,783
629,4482,3164,2489,675
630,2792,1947,1533,414
631,3371,2449,1979,470
632,5547,3832,3036,796
633,5468,3954,3226,728
634,5104,3751,3064,687
635,4728,3485,2812,673
636,4024,2855,2290,565
637,2350,1677,1348,329
638,3234,2196,1779,417
639,4948,3550,2790,760
640,5247,3760,3052,708
641,5003,3557,2810,747
642,4816,3482,2775,707
643,4208,2818,2267,551
644,2454,1668,1357,311
645,2763,1919,1506,413
646,4954,3522,2829,693
647,4903,3470,2793,677
648,4907,3464,2772,692
649,4625,3336,2669,667
650,3497,2482,1947,535
651,1826,1358,1101,257
652,2307,1721,1356,365
653,4368,3078,2433,645
654,4233,3091,2466,625
655,4187,2948,2377,571
656,3811,2726,2135,591
657,3179,2226,1730,496
658,1615,1039,814,225
659,1788,1307,1028,279
660,2959,2144,1653,491
661,3947,2840,2235,605
662,3841,2821,2248,573
663,3729,2700,2148,552
664,3324,2381,1891,490
665,1795,1305,1036,269
666,2373,1655,1321,334
667,4101,2855,2208,647
668,4241,2960,2352,608
669,4478,3189,2578,611
670,3961,2814,2214,600
671,3367,2325,1796,529
672,1828,1222,951,271
673,2344,1636,1319,317
674,4415,3007,2382,625
675,4403,3151,2502,649
676,4244,3082,2450,632
677,4322,3077,2404,673
678,3456,2431,1936,495
679,2068,1407,1099,308
680,2568,1755,1374,381
681,4770,3320,2628,692
682,4621,3277,2595,682
683,4470,3164,2513,651
684,4307,3077,2459,618
685,3370,2366,1818,548
686,1960,1341,1017,324
687,2412,1765,1423,342
688,4504,3095,2489,606
689,4382,3138,2499,639
690,4710,3369,2697,672
691,4324,3106,2479,627
692,3472,2497,1980,517
693,1909,1339,1081,258
694,2365,1688,1334,354
695,4460,3056,2438,618
696,4479,3135,2482,653
697,4510,3207,2550,657
698,4340,3111,2491,620
699,3508,2436,1933,503
700,2030,1420,1122,298
701,2586,1749,1399,350
702,4476,2970,2346,624
703,3232,2299,1823,476
704,4291,3106,2498,608
705,4247,2926,2327,599
706,3477,2539,2045,494
707,2169,1470,1169,301
708,2430,1808,1453,355
709,4358,3082,2439,643
710,4465,3249,2550,699
711,4550,3210,2615,595
712,4147,3011,2380,631
713,3634,2532,2000,532
714,2014,1430,1141,289
715,2687,1910,1555,355
716,4376,3115,2521,594
717,4318,3226,2622,604
718,4441,3219,2620,599
719,4234,3116,2556,560
720,3027,2230,1762,468
721,1966,1376,1101,275
722,2446,1761,1452,309
723,3779,2643,2145,498
724,4619,3341,2727,614
725,4983,3584,2925,659
726,4645,3319,2716,603
727,3612,2630,2139,491
728,2153,1577,1323,254
729,3089,2307,1978,329
730,4580,3446,2882,564
731,4788,3625,2992,633
732,5095,3759,3113,646
733,4668,3454,2860,594
734,3711,2785,2272,513
735,2523,1861,1577,284
736,3364,2547,2122,425
737,5513,4050,3321,729
738,5362,3762,3095,667
739,5402,3987,3293,694
740,5398,3996,3299,697
741,3783,2663,2134,529
742,2395,1797,1503,294
743,3679,2719,2289,430
744,5688,4325,3570,755
745,5842,4382,3645,737
746,5923,4458,3682,776
747,5717,4222,3487,735
748,4250,3176,2565,611
749,2525,1986,1656,330
750,3923,3023,2559,464
751,5785,4281,3545,736
752,6052,4522,3780,742
753,6150,4588,3814,774
754,5591,4134,3419,715
755,4279,3196,2616,580
756,2897,2066,1717,349
757,3904,2873,2374,499
758,5458,4145,3442,703
759,5909,4399,3685,714
760,6175,4620,3823,797
761,5856,4422,3581,841
762,4610,3505,2837,668
763,3081,2269,1864,405
764,4390,3265,2718,547
765,6507,4917,4018,899
766,6941,5103,4189,914
767,6576,4776,3961,815
768,5985,4462,3701,761
769,4789,3497,2840,657
770,3263,2292,1881,411
771,4180,3135,2561,574
772,6371,4865,3993,872
773,6648,4960,4070,890
774,6501,4777,3880,897
775,6088,4431,3574,857
776,4376,3179,2510,669
777,2733,1955,1549,406
778,3953,2921,2344,577
779,6108,4416,3563,853
780,5668,4185,3360,825
781,6159,4508,3663,845
782,5810,4241,3426,815
783,4491,3394,2670,724
784,3110,2263,1842,421
785,4418,3281,2713,568
786,6529,4488,3573,915
787,5756,4251,3437,814
788,5716,4102,3315,787
789,5323,4022,3246,776
790,4280,3085,2441,644
791,2982,2169,1777,392
792,4365,3172,2595,577
793,6627,4888,3942,946
794,6467,4808,3905,903
795,6631,4903,3984,919
796,6378,4681,3779,902
797,4767,3424,2734,690
798,3501,2580,2136,444
799,4647,3426,2777,649
800,6336,4693,3788,905
801,6222,4564,3646,918
802,5527,3904,3082,822
803,4267,3197,2561,636
804,3733,2678,2135,543
805,3299,2394,1907,487
806,4530,3396,2722,674
807,6908,5047,4167,880
808,7714,5338,4369,969
809,7490,5425,4389,1036
810,7190,5081,4120,961
811,5391,3977,3171,806
812,3575,2667,2178,489
813,5285,4031,3247,784
814,7330,5439,4452,987
815,7489,5479,4500,979
816,7345,5467,4469,998
817,6679,4991,3998,993
818,5403,3970,3190,780
819,3573,2712,2203,509
820,4834,3515,2838,677
821,6905,4945,3988,957
822,6743,4927,3942,985
823,6201,4488,3593,895
824,5571,4071,3229,842
825,3872,2780,2191,589
826,2613,1884,1480,404
827,3109,2293,1853,440
828,4324,3145,2477,668
829,4226,3064,2339,725
830,3991,2914,2278,636
831,3160,2211,1728,483
832,2386,1626,1257,369
833,1115,825,634,191
834,1387,930,740,190
835,2147,1418,1142,276
836,2686,1777,1349,428
837,2885,1915,1476,439
838,2694,1837,1400,437
839,2273,1541,1164,377
840,1188,836,643,193
841,1447,1039,832,207
842,2568,1844,1448,396
843,3566,2527,1970,557
844,3941,2816,2226,590
845,3841,2625,2058,567
846,3261,2338,1812,526
847,2241,1523,1204,319
848,2679,1892,1519,373
849,4182,2841,2191,650
850,4236,3039,2391,648
851,4628,3206,2536,670
852,4205,3025,2403,622
853,3459,2508,2033,475
854,2448,1744,1390,354
855,2853,2015,1586,429
856,4638,3178,2543,635
857,5325,3669,2942,727
858,4866,3364,2670,694
859,4715,3375,2689,686
860,3753,2713,2136,577
861,2481,1778,1437,341
862,3233,2401,1981,420
863,5034,3660,2957,703
864,4787,3593,2909,684
865,4901,3602,2923,679
866,4398,3266,2653,613
867,3823,2832,2267,565
868,2619,1901,1534,367
869,3518,2612,2205,407
870,5178,3826,3127,699
871,5290,3876,3127,749
872,5469,4116,3402,714
873,5399,4028,3303,725
874,4232,3012,2342,670
875,2828,2084,1697,387
876,3724,2783,2281,502
877,5733,4249,3448,801
878,5814,4284,3521,763
879,5349,4006,3248,758
880,5025,3681,3010,671
881,4044,2922,2335,587
882,2323,1731,1377,354
883,3147,2469,2005,464
884,4972,3719,3014,705
885,4878,3582,2897,685
886,5288,3786,3039,747
887,4968,3668,2934,734
888,3788,2748,2158,590
889,2514,1839,1496,343
890,3463,2602,2083,519
891,4931,3700,3009,691
892,5101,3873,3079,794
893,5144,3727,2998,729
894,4433,3372,2657,715
895,3597,2648,2111,537
896,2621,1826,1482,344
897,3397,2494,2021,473
898,5062,3812,3009,803
899,4926,3678,2933,745
900,4936,3558,2822,736
901,4688,3441,2747,694
902,3827,2699,2140,559
903,2452,1754,1408,346
904,3283,2394,1958,436
905,4823,3481,2764,717
906,4821,3662,2942,720
907,5059,3613,2923,690
908,4585,3444,2744,700
909,3682,2733,2178,555
910,2350,1714,1351,363
911,3056,2189,1755,434
912,4746,3367,2721,646
913,4613,3465,2808,657
914,4560,3441,2694,747
915,4520,3304,2629,675
916,3346,2433,1930,503
917,2253,1649,1325,324
918,2927,2267,1807,460
919,4878,3463,2799,664
920,4852,3481,2802,679
921,4585,3430,2757,673
922,4477,3260,2600,660
923,3654,2566,1993,573
924,2411,1760,1420,340
925,3054,2336,1882,454
926,4696,3479,2765,714
927,5033,3633,2875,758
928,4948,3530,2809,721
929,4636,3390,2704,686
930,3539,2636,2060,576
931,2371,1678,1338,340
932,2816,2159,1715,444
933,4493,3356,2672,684
934,4678,3486,2739,747
935,4737,3484,2762,722
936,4775,3514,2806,708
937,3658,2725,2181,544
938,2260,1664,1324,340
939,3343,2433,1933,500
940,4640,3440,2756,684
941,4694,3532,2867,665
942,4771,3517,2800,717
943,4173,3017,2395,622
944,3046,2238,1752,486
945,2260,1701,1333,368
946,2876,2143,1700,443
947,4774,3402,2719,683
948,5009,3702,2906,796
949,5369,3852,3133,719
950,5020,3669,2969,700
951,3935,2802,2203,599
952,2795,2049,1630,419
953,3795,2827,2305,522
954,5489,4083,3252,831
955,5680,4108,3336,772
956,5383,3940,3205,735
957,4890,3695,2985,710
958,3872,2887,2310,577
959,2790,1987,1602,385
960,3524,2616,2118,498
961,4903,3551,2875,676
962,5160,3802,3079,723
963,5194,3766,2995,771
964,5142,3755,3013,742
965,3836,2925,2323,602
966,2737,1981,1572,409
967,3386,2534,2025,509
968,4816,3585,2900,685
969,4734,3458,2763,695
970,4761,3475,2754,721
971,4277,3224,2570,654
972,3563,2620,2056,564
973,2401,1749,1379,370
974,2877,2126,1674,452
975,4448,3191,2494,697
976,4525,3226,2593,633
977,4533,3318,2676,642
978,4431,3307,2686,621
979,3456,2470,1938,532
980,2162,1651,1332,319
981,2786,1971,1597,374
982,4172,3041,2403,638
983,4255,3077,2457,620
984,4154,2996,2400,596
985,3803,2839,2263,576
986,2950,2183,1720,463
987,1909,1444,1155,289
988,2506,1781,1399,382
989,3325,2457,1913,544
990,4086,2909,2298,611
991,3716,2667,2069,598
992,3702,2639,2103,536
993,2959,2171,1680,491
994,2006,1471,1161,310
995,2479,1795,1419,376
996,3501,2610,2072,538
997,3985,2922,2361,561
998,3920,2913,2314,599
999,3868,2796,2209,587
1000,2921,2101,1660,441
1001,1655,1244,975,269
1002,2229,1622,1299,323
1003,3660,2598,2020,578
1004,3898,2809,2202,607
1005,3912,2797,2200,597
1006,3604,2624,2029,595
1007,2970,2105,1621,484
1008,1546,1187,957,230
1009,1944,1465,1146,319
1010,3608,2493,1959,534
1011,3514,2472,1905,567
1012,3344,2475,1915,560
1013,3292,2351,1824,527
1014,2469,1850,1445,405
1015,1296,925,702,223
1016,1546,1071,811,260
1017,2948,1998,1528,470
1018,3077,2190,1690,500
1019,3028,2145,1649,496
1020,2738,1976,1474,502
1021,2147,1478,1087,391
1022,1277,903,675,228
1023,1606,1142,879,263
1024,2504,1726,1296,430
1025,2218,1566,1217,349
1026,3024,2149,1681,468
1027,2951,2047,1555,492
1028,2401,1693,1310,383
1029,1242,891,700,191
1030,1511,1172,938,234
1031,2934,2062,1619,443
1032,3003,2140,1663,477
1033,3073,2192,1710,482
1034,2933,2043,1550,493
1035,2468,1710,1287,423
1036,1355,892,689,203
1037,1553,1122,891,231
1038,2902,1954,1479,475
1039,2899,2109,1591,518
1040,2986,2032,1584,448
1041,2964,2031,1571,460
1042,2433,1609,1214,395
1043,1280,923,725,198
1044,1603,1170,909,261
1045,3154,2214,1726,488
1046,3084,2148,1666,482
1047,2983,1925,1490,435
1048,2849,1908,1440,468
1049,2420,1538,1150,388
1050,1300,895,712,183
1051,1526,1112,863,249
1052,2872,1978,1481,497
1053,2914,1957,1463,494
1054,2843,1994,1536,458
1055,2649,1894,1447,447
1056,2042,1478,1150,328
1057,1225,901,681,220
1058,1562,1045,792,253
1059,2751,1823,1398,425
1060,2634,1868,1415,453
1061,2704,1961,1511,450
1062,2670,1864,1463,401
1063,2073,1498,1121,377
1064,1240,888,669,219
1065,1530,1076,811,265
1066,2392,1704,1346,358
1067,2675,1846,1471,375
1068,2755,1911,1436,475
1069,2608,1824,1421,403
1070,2163,1521,1163,358
1071,1304,951,743,208
